team,games,win_rate,goals_per_game,goals_against_per_game,goal_diff,fifa_rank,confederation
North Korea,2,0.5,2.0,2.5,-1,60.0,
Spain,10,0.2,1.1,1.5,-4,2.0,UEFA
Morocco,4,0.25,0.5,1.0,-2,8.0,CAF
Poland,6,0.3333333333333333,1.6666666666666667,2.3333333333333335,-4,60.0,
Belgium,9,0.3333333333333333,1.3333333333333333,2.111111111111111,-7,9.0,UEFA
England,18,0.16666666666666666,1.1666666666666667,1.7777777777777777,-11,4.0,UEFA
Ghana,1,1.0,2.0,1.0,1,65.0,CAF
Croatia,8,0.375,1.5,2.125,-5,11.0,UEFA
Austria,7,0.2857142857142857,1.8571428571428572,2.857142857142857,-7,23.0,UEFA
Portugal,9,0.3333333333333333,1.4444444444444444,1.7777777777777777,-3,5.0,UEFA
Nigeria,1,1.0,3.0,2.0,1,60.0,
South Africa,1,0.0,1.0,1.0,0,60.0,CAF
Romania,1,0.0,0.0,0.0,0,60.0,
France,25,0.6,2.2,1.24,24,1.0,UEFA
Sweden,9,0.2222222222222222,1.7777777777777777,3.2222222222222223,-13,39.0,UEFA
Mexico,5,0.2,0.6,2.2,-8,15.0,CONCACAF
Bolivia,1,0.0,0.0,1.0,-1,60.0,
Australia,3,0.3333333333333333,1.0,2.0,-3,26.0,AFC
Bulgaria,3,0.3333333333333333,3.6666666666666665,3.0,2,60.0,
Netherlands,15,0.4666666666666667,1.6,1.1333333333333333,7,7.0,UEFA
Qatar,1,0.0,0.0,2.0,-2,35.0,AFC
Algeria,2,0.5,1.5,1.5,0,36.0,CAF
Denmark,1,1.0,6.0,1.0,5,60.0,
South Korea,6,0.3333333333333333,1.0,2.3333333333333335,-8,25.0,AFC
Cameroon,2,0.5,1.0,3.0,-4,60.0,
Uruguay,15,0.4,1.8,2.1333333333333333,-5,17.0,CONMEBOL
Czechia,6,0.16666666666666666,1.1666666666666667,2.0,-5,41.0,UEFA
Scotland,1,0.0,1.0,2.0,-1,47.0,UEFA
Saudi Arabia,2,0.5,1.0,3.0,-4,57.0,AFC
Ireland,1,0.0,0.0,0.0,0,60.0,
Japan,3,0.6666666666666666,1.6666666666666667,1.6666666666666667,0,18.0,AFC
Colombia,2,0.5,1.5,0.5,2,13.0,CONMEBOL
Ukraine,1,0.0,0.0,3.0,-3,60.0,
Senegal,1,1.0,1.0,0.0,1,14.0,CAF
Russia,9,0.3333333333333333,2.3333333333333335,1.6666666666666667,6,60.0,
USA,8,0.25,1.5,3.125,-13,16.0,CONCACAF
Türkiye,2,0.5,1.5,1.5,0,42.0,UEFA
Italy,25,0.6,1.76,0.96,20,60.0,
Peru,3,0.0,0.6666666666666666,3.6666666666666665,-9,60.0,
Germany,47,0.5957446808510638,2.0638297872340425,1.6382978723404256,20,10.0,UEFA
Norway,1,0.0,1.0,2.0,-1,44.0,UEFA
Switzerland,1,0.0,5.0,7.0,-2,19.0,UEFA
Ecuador,1,1.0,2.0,0.0,2,24.0,CONMEBOL
Hungary,7,0.5714285714285714,4.428571428571429,2.142857142857143,16,60.0,
Northern Ireland,1,0.0,0.0,4.0,-4,60.0,
Costa Rica,2,0.0,2.0,4.0,-4,60.0,
Brazil,40,0.625,2.225,1.35,35,6.0,CONMEBOL
Chile,3,0.3333333333333333,1.0,1.3333333333333333,-1,60.0,
Argentina,27,0.3333333333333333,1.7037037037037037,1.4444444444444444,7,3.0,CONMEBOL
Paraguay,2,0.0,1.5,4.0,-5,64.0,CONMEBOL
Bosnia and Herzegovina,7,0.14285714285714285,0.5714285714285714,1.8571428571428572,-9,52.0,UEFA
Canada,0,0.3,1.0,1.3,0,30.0,CONCACAF
Haiti,0,0.3,1.0,1.3,0,83.0,CONCACAF
Curaçao,0,0.3,1.0,1.3,0,81.0,CONCACAF
Ivory Coast,0,0.3,1.0,1.3,0,33.0,CAF
Tunisia,0,0.3,1.0,1.3,0,40.0,CAF
Egypt,0,0.3,1.0,1.3,0,29.0,CAF
Iran,0,0.3,1.0,1.3,0,21.0,AFC
New Zealand,0,0.3,1.0,1.3,0,95.0,OFC
Cape Verde,0,0.3,1.0,1.3,0,70.0,CAF
Iraq,0,0.3,1.0,1.3,0,61.0,AFC
Jordan,0,0.3,1.0,1.3,0,68.0,AFC
DR Congo,0,0.3,1.0,1.3,0,51.0,CAF
Uzbekistan,0,0.3,1.0,1.3,0,62.0,AFC
Panama,0,0.3,1.0,1.3,0,53.0,CONCACAF
